user,stage_id,match_id,assigned_time_iso
ominous,1,G-D-1,2025-08-22T07:11:09.493040+00:00
Ominous,1,G-D-2,2025-08-22T08:59:24.251431+00:00
anshul,1,G-B-1,2025-08-24T13:06:00.979067+00:00
alex,1,G-B-1,2025-08-24T16:10:27.921167+00:00
admin,1,G-C-1,2025-08-24T16:18:37.514487+00:00
anshul.2506762,1,G-C-1,2025-08-24T16:23:57.796226+00:00
hh,1,G-C-1,2025-08-24T16:40:41.360949+00:00
yes,1,G-C-1,2025-08-24T16:54:26.298969+00:00
nbmb,1,G-B-2,2025-08-24T17:06:09.957404+00:00
asdf,1,G-C-1,2025-08-24T17:29:15.579645+00:00
 smdc,1,G-D-1,2025-08-24T17:44:51.201937+00:00
omi,1,G-C-1,2025-08-24T17:47:42.295678+00:00
Sushant.kanji,1,G-D-2,2025-08-25T03:29:54.094707+00:00
ugabugamoga,1,G-D-2,2025-08-25T03:31:29.243722+00:00
non,2,G-C-W,2025-08-25T11:52:58.149612+00:00
okok,2,G-B-E,2025-08-25T12:18:34.854927+00:00
jhasushant1999,2,G-D-E,2025-08-26T04:52:25.680241+00:00
rahulsoni,2,G-D-E,2025-08-26T06:36:50.562697+00:00
